	num_leaves	dir_conc	cell_pop	coverage	num_single_cells	read_len	frag_len	paired	exome	poisson_time	error_rate	tumor_num	sample_num	aggregate_tumor	true_positive	false_positive	missed_mutation
0	 5	 10	 800000000.0	 30	 0	 2000	 3000	 True	 True	 11706964495.066292	 0.0	0	0	-1	9	5	50
1	 5	 10	 800000000.0	 5	 0	 75	 150	 True	 False	 11706964495.066292	 0.0001	0	1	-1	12	54696	47
2	 5	 10	 800000000.0	 30	 0	 500	 1000	 True	 False	 11706964495.066292	 1e-05	0	2	-1	0	66	59
3	 5	 10	 800000000.0	 30	 0	 500	 1000	 True	 False	 11706964495.066292	 0.001	0	3	-1	0	62	59
4	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 True	 11706964495.066292	 0.001	0	4	-1	1	228140	58
5	 5	 10	 800000000.0	 5	 0	 500	 1000	 True	 False	 11706964495.066292	 0.0	0	5	-1	0	32	59
6	 5	 10	 800000000.0	 2	 0	 500	 1000	 True	 False	 11706964495.066292	 1e-05	0	6	-1	0	8	59
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	282986	40
8	 5	 10	 800000000.0	 15	 0	 150	 200	 True	 True	 8910128466.74147	 0.0001	1	0	-1	1	18506	97
9	 5	 10	 800000000.0	 2	 0	 150	 200	 True	 True	 8910128466.74147	 0.001	1	1	-1	0	106571	98
10	 5	 10	 800000000.0	 25	 0	 150	 200	 True	 True	 8910128466.74147	 0.001	1	2	-1	0	173459	98
11	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 False	 8910128466.74147	 0.001	1	3	-1	70	1022834	28
12	 5	 10	 800000000.0	 25	 0	 2000	 3000	 True	 False	 8910128466.74147	 0.0	1	4	-1	63	3	35
13	 5	 10	 800000000.0	 5	 0	 500	 1000	 True	 False	 8910128466.74147	 0.0001	1	5	-1	0	51	98
14	 5	 10	 800000000.0	 15	 0	 150	 200	 True	 True	 8910128466.74147	 1e-05	1	6	-1	0	1770	98
15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	75	1322991	23
